".ci",".x",".y",".sids",".axisIndex","UKA_app.UKA.Kinase Name","UKA_app.UKA.Median Final score",".ri",".xs",".ys",".y0s"
1,-27.71623777654659,1.1936605356664183,152,0,"ROR1",1.1936605356664183,0,33612,10783,65535
1,-29.139154354887392,1.2091802157200262,147,0,"RET",1.2091802157200262,0,29373,11122,65535
1,-28.985476429476122,1.2590060684151139,134,0,"EPHA4",1.2590060684151139,0,29831,12211,65535
1,-29.397564188659747,1.2676062401770316,130,0,"FES",1.2676062401770316,0,28603,12399,65535
1,-29.516494234628112,1.2835292062742008,127,0,"NTRK3",1.2835292062742008,0,28249,12747,65535
1,-29.793547021271248,1.3172413858009084,118,0,"INSR",1.3172413858009084,0,27424,13483,65535
1,-29.584410970975576,1.3211539751639585,117,0,"ALK",1.3211539751639585,0,28047,13568,65535
1,-30.36078080333008,1.323123568026863,116,0,"EPHB1",1.323123568026863,0,25734,13611,65535
1,-30.05592982319597,1.3351372171718978,112,0,"EPHA7",1.3351372171718978,0,26642,13874,65535
1,-29.644875318538652,1.3433269541151498,111,0,"PTK2B",1.3433269541151498,0,27867,14053,65535
1,-29.83160963103586,1.3495759033921515,110,0,"MATK",1.3495759033921515,0,27310,14189,65535
1,-30.27089719113998,1.3799889398412954,103,0,"YES1",1.3799889398412954,0,26002,14854,65535
1,-29.753673639378977,1.3799889398412954,102,0,"LYN",1.3799889398412954,0,27543,14854,65535
1,-29.59643445902082,1.3822450201455196,100,0,"AXL",1.3822450201455196,0,28011,14903,65535
1,-29.971612205578325,1.389084444675825,99,0,"TXK",1.389084444675825,0,26893,15052,65535
1,-29.91726256365891,1.3937046423125703,98,0,"CSK",1.3937046423125703,0,27055,15153,65535
1,-31.12120813981958,1.4151262465401753,95,0,"EPHA2",1.4151262465401753,0,23469,15621,65535
1,-29.970815134020036,1.4200335810349194,94,0,"ERBB2",1.4200335810349194,0,26896,15728,65535
