.ci,.x,.y,.sids,.axisIndex,UKA_app.UKA.Kinase Name,UKA_app.UKA.Median Final score,.ri,.xs,.ys,.y0s
3,2.445130999,1.513257904,82,0,TEC,1.513257904,0,38945,17765,65535
3,2.442115447,1.519418213,81,0,PTK2,1.519418213,0,38869,17899,65535
3,2.466385913,1.53844145,76,0,MET,1.53844145,0,39481,18315,65535
3,2.56042136,1.53844145,75,0,LTK,1.53844145,0,41851,18315,65535
3,2.445826853,1.565175704,69,0,TYRO3,1.565175704,0,38963,18899,65535
3,2.621162709,1.572124564,66,0,FGR,1.572124564,0,43382,19051,65535
3,2.51102748,1.575641137,65,0,FYN,1.575641137,0,40606,19128,65535
3,2.53642051,1.589999287,63,0,NTRK3,1.589999287,0,41246,19441,65535
3,3.020409034,1.640240384,57,0,FLT4,1.640240384,0,53445,20539,65535
3,2.756591207,1.75706123,45,0,IGF1R,1.75706123,0,46796,23091,65535
3,2.453187098,1.773451646,43,0,AXL,1.773451646,0,39148,23449,65535
3,2.494333934,1.790484985,41,0,ERBB3,1.790484985,0,40185,23821,65535
3,3.29098013,1.869791344,37,0,ROR1,1.869791344,0,60265,25553,65535
3,2.737211198,2.012333735,29,0,INSR,2.012333735,0,46307,28667,65535
3,2.737647533,2.022093572,27,0,YES1,2.022093572,0,46318,28880,65535
3,2.596961542,2.052762392,23,0,MATK,2.052762392,0,42772,29550,65535
3,2.603773379,2.085762652,20,0,SRC,2.085762652,0,42944,30271,65535
3,3.424102366,2.218388218,16,0,RYK,2.218388218,0,63620,33168,65535
3,2.788972062,2.26760624,13,0,LCK,2.26760624,0,47612,34243,65535
3,2.587840519,2.586365003,6,0,ZAP70,2.586365003,0,42542,41207,65535
3,2.756906186,2.586365003,5,0,HCK,2.586365003,0,46804,41207,65535
3,2.55167997,2.665546249,3,0,SYK,2.665546249,0,41631,42936,65535
3,3.235151349,3.665546249,2,0,BLK,3.665546249,0,58858,64781,65535
